pk_blobs_00.id0,blobs_00.frame_id0,blobs_00.x0,blobs_00.y0,blobs_00.w0,blobs_00.h0,blobs_00.u0
0,0,-1,446,502,91,189
1,0,-1,634,294,51,166
2,0,-1,702,337,54,178
3,1,-1,446,503,89,187
4,1,-1,411,665,72,301
5,1,-1,634,293,51,167
6,1,-1,702,337,54,177
7,2,15,446,502,86,189
8,2,13,635,294,50,165
9,3,15,447,503,83,188
10,3,13,635,295,50,162
11,4,15,446,494,87,197
12,4,13,634,292,52,170
13,4,14,702,336,53,179
14,5,15,444,484,87,212
15,5,13,634,290,53,172
16,6,15,449,480,82,219
17,6,16,390,676,91,288
18,6,13,634,294,53,164
19,7,15,452,474,76,232
20,7,16,378,681,102,273
21,7,13,636,291,50,169
22,8,15,457,468,71,244
23,8,16,376,683,100,272
24,8,13,633,292,49,144
25,9,16,369,689,107,261
26,9,13,645,311,53,132
27,10,16,361,693,111,256
28,10,13,646,310,54,133
29,10,14,720,332,46,181
30,11,16,354,693,110,258
31,11,13,648,294,51,149
32,11,14,720,324,45,198
33,12,16,349,686,99,272
34,12,13,652,312,51,132
35,12,14,721,324,48,197
36,13,15,449,463,67,257
37,13,16,347,677,81,294
38,13,13,651,309,57,138
39,13,14,724,323,50,199
40,14,15,446,471,73,241
41,14,16,340,682,78,281
42,14,13,658,296,53,145
43,14,14,726,327,53,190
44,15,15,444,480,76,232
45,15,16,337,684,75,284
46,15,13,657,308,66,138
47,15,14,728,325,53,192
48,16,15,441,491,79,221
49,16,16,314,696,97,255
50,17,15,440,492,86,219
51,17,16,301,698,116,251
52,18,15,438,500,91,213
53,18,16,292,697,115,253
54,18,13,662,309,66,135
55,19,15,438,500,93,213
56,19,16,277,689,154,271
57,19,13,678,315,54,129
58,19,14,738,339,52,133
59,20,15,435,500,95,215
60,20,16,280,679,99,291
61,20,13,682,318,50,128
62,20,14,741,338,54,135
63,21,15,433,499,100,219
64,21,16,272,680,99,289
65,21,9,100,335,54,68
66,22,15,436,501,100,224
67,22,16,269,688,79,296
68,22,9,99,335,55,69
