pk_blobs_00.img_id,pk_blobs_01.text_id,match00.is_match
0,0,TRUE
0,1,TRUE
0,2,TRUE
0,3,TRUE
0,4,TRUE
1,5,TRUE
1,6,TRUE
1,7,TRUE
1,8,TRUE
1,9,TRUE
2,10,TRUE
2,11,TRUE
2,12,TRUE
2,13,TRUE
2,14,TRUE
3,15,TRUE
3,16,TRUE
3,17,TRUE
3,18,TRUE
3,19,TRUE
4,20,TRUE
4,21,TRUE
4,22,TRUE
4,23,TRUE
4,24,TRUE
5,25,TRUE
5,26,TRUE
5,27,TRUE
5,28,TRUE
5,29,TRUE
6,30,TRUE
6,31,TRUE
6,32,TRUE
6,33,TRUE
6,34,TRUE
7,35,TRUE
7,36,TRUE
7,37,TRUE
7,38,TRUE
7,39,TRUE
8,40,TRUE
8,41,TRUE
8,42,TRUE
8,43,TRUE
8,44,TRUE
9,45,TRUE
9,46,TRUE
9,47,TRUE
9,48,TRUE
9,49,TRUE
10,50,TRUE
10,51,TRUE
10,52,TRUE
10,53,TRUE
10,54,TRUE
11,55,TRUE
11,56,TRUE
11,57,TRUE
11,58,TRUE
11,59,TRUE
12,60,TRUE
12,61,TRUE
12,62,TRUE
12,63,TRUE
12,64,TRUE
13,65,TRUE
13,66,TRUE
13,67,TRUE
13,68,TRUE
13,69,TRUE
14,70,TRUE
14,71,TRUE
14,72,TRUE
14,73,TRUE
14,74,TRUE
15,75,TRUE
15,76,TRUE
15,77,TRUE
15,78,TRUE
15,79,TRUE
16,80,TRUE
16,81,TRUE
16,82,TRUE
16,83,TRUE
16,84,TRUE
17,85,TRUE
17,86,TRUE
17,87,TRUE
17,88,TRUE
17,89,TRUE
18,90,TRUE
18,91,TRUE
18,92,TRUE
18,93,TRUE
18,94,TRUE
19,95,TRUE
19,96,TRUE
19,97,TRUE
19,98,TRUE
19,99,TRUE
20,100,TRUE
20,101,TRUE
20,102,TRUE
20,103,TRUE
20,104,TRUE
21,105,TRUE
21,106,TRUE
21,107,TRUE
21,108,TRUE
21,109,TRUE
22,110,TRUE
22,111,TRUE
22,112,TRUE
22,113,TRUE
22,114,TRUE
23,115,TRUE
23,116,TRUE
23,117,TRUE
23,118,TRUE
23,119,TRUE
24,120,TRUE
24,121,TRUE
24,122,TRUE
24,123,TRUE
24,124,TRUE
25,125,TRUE
25,126,TRUE
25,127,TRUE
25,128,TRUE
25,129,TRUE
26,130,TRUE
26,131,TRUE
26,132,TRUE
26,133,TRUE
26,134,TRUE
27,135,TRUE
27,136,TRUE
27,137,TRUE
27,138,TRUE
27,139,TRUE
28,140,TRUE
28,141,TRUE
28,142,TRUE
28,143,TRUE
28,144,TRUE
29,145,TRUE
29,146,TRUE
29,147,TRUE
29,148,TRUE
29,149,TRUE
30,150,TRUE
30,151,TRUE
30,152,TRUE
30,153,TRUE
30,154,TRUE
31,155,TRUE
31,156,TRUE
31,157,TRUE
31,158,TRUE
31,159,TRUE
32,160,TRUE
32,161,TRUE
32,162,TRUE
32,163,TRUE
32,164,TRUE
33,165,TRUE
33,166,TRUE
33,167,TRUE
33,168,TRUE
33,169,TRUE
34,170,TRUE
34,171,TRUE
34,172,TRUE
34,173,TRUE
34,174,TRUE
35,175,TRUE
35,176,TRUE
35,177,TRUE
35,178,TRUE
35,179,TRUE
36,180,TRUE
36,181,TRUE
36,182,TRUE
36,183,TRUE
36,184,TRUE
37,185,TRUE
37,186,TRUE
37,187,TRUE
37,188,TRUE
37,189,TRUE
38,190,TRUE
38,191,TRUE
38,192,TRUE
38,193,TRUE
38,194,TRUE
39,195,TRUE
39,196,TRUE
39,197,TRUE
39,198,TRUE
39,199,TRUE
40,200,TRUE
40,201,TRUE
40,202,TRUE
40,203,TRUE
40,204,TRUE
